매물ID,매물명,업종,행정동,위도,경도,도로명주소
1,원룸 하우스 001,원룸,하단동,35.105722,128.965013,부산광역시 사하구 하단동 동매로 58
2,투룸 하우스 002,투룸,하단동,35.115128,128.968091,부산광역시 사하구 하단동 승학로 108
3,투룸 하우스 003,투룸,하단동,35.107109,128.965634,부산광역시 사하구 하단동 하단로 131
4,투룸 하우스 004,투룸,하단동,35.117021,128.966009,부산광역시 사하구 하단동 낙동대로550번길 220
5,투룸 하우스 005,투룸,하단동,35.106161,128.965603,부산광역시 사하구 하단동 동매로 170
6,투룸 하우스 006,투룸,하단동,35.105858,128.965539,부산광역시 사하구 하단동 하단로 160
7,투룸 하우스 007,투룸,하단동,35.106918,128.965622,부산광역시 사하구 하단동 하단로 159
8,투룸 하우스 008,투룸,하단동,35.10695,128.967564,부산광역시 사하구 하단동 낙동남로 23
9,투룸 하우스 009,투룸,하단동,35.105987,128.964974,부산광역시 사하구 하단동 낙동남로 136
10,투룸 하우스 010,투룸,하단동,35.107394,128.966353,부산광역시 사하구 하단동 동매로 105
11,원룸 하우스 011,원룸,하단동,35.116561,128.968161,부산광역시 사하구 하단동 동매로 80
12,원룸 하우스 012,원룸,하단동,35.115218,128.968275,부산광역시 사하구 하단동 동매로 81
13,원룸 하우스 013,원룸,하단동,35.105099,128.967212,부산광역시 사하구 하단동 낙동남로 116
14,원룸 하우스 014,원룸,하단동,35.105564,128.965579,부산광역시 사하구 하단동 하단로 195
15,투룸 하우스 015,투룸,하단동,35.116277,128.967865,부산광역시 사하구 하단동 승학로 26
16,원룸 하우스 016,원룸,하단동,35.105611,128.967641,부산광역시 사하구 하단동 낙동남로 77
17,투룸 하우스 017,투룸,하단동,35.114832,128.967249,부산광역시 사하구 하단동 낙동대로550번길 124
18,투룸 하우스 018,투룸,하단동,35.105055,128.967476,부산광역시 사하구 하단동 동매로 218
19,투룸 하우스 019,투룸,하단동,35.114643,128.967301,부산광역시 사하구 하단동 을숙도대로 128
20,원룸 하우스 020,원룸,하단동,35.106541,128.966855,부산광역시 사하구 하단동 낙동남로 184
21,원룸 하우스 021,원룸,하단동,35.116026,128.968271,부산광역시 사하구 하단동 승학로 136
22,원룸 하우스 022,원룸,하단동,35.10652,128.968429,부산광역시 사하구 하단동 낙동남로 130
23,원룸 하우스 023,원룸,하단동,35.115982,128.96559,부산광역시 사하구 하단동 승학로 140
24,투룸 하우스 024,투룸,하단동,35.104814,128.966472,부산광역시 사하구 하단동 하단로 201
25,투룸 하우스 025,투룸,하단동,35.106368,128.967865,부산광역시 사하구 하단동 낙동남로 154
26,투룸 하우스 026,투룸,하단동,35.105804,128.965013,부산광역시 사하구 하단동 하신중앙로 109
27,원룸 하우스 027,원룸,하단동,35.108172,128.966858,부산광역시 사하구 하단동 동매로 65
28,원룸 하우스 028,원룸,하단동,35.113521,128.966505,부산광역시 사하구 하단동 동매로 161
29,원룸 하우스 029,원룸,하단동,35.113582,128.966539,부산광역시 사하구 하단동 승학로 96
30,원룸 하우스 030,원룸,하단동,35.108014,128.965792,부산광역시 사하구 하단동 동매로 49
