상권ID,상호명,업종,행정동,위도,경도,도로명주소
1,브루랩 하단점 001,카페,하단동,35.105344,128.965344,부산광역시 사하구 하단동 을숙도대로 111
2,피트니스존 하단점 002,헬스장,하단동,35.108463,128.9661,부산광역시 사하구 하단동 낙동남로 8
3,하단병원 하단점 003,병원,하단동,35.109462,128.965426,부산광역시 사하구 하단동 하신중앙로 120
4,하단역,지하철역,하단동,39.106161,128.96998,부산광역시 사하구 하단동 승학로 395
5,헬스팩토리 하단점 005,헬스장,하단동,35.106927,128.962273,부산광역시 사하구 하단동 하단로 255
6,브루랩 하단점 006,카페,하단동,35.102926,128.969616,부산광역시 사하구 하단동 동매로 12
7,스타카페 하단점 007,카페,하단동,35.107928,128.962708,부산광역시 사하구 하단동 을숙도대로 83
8,생활마트 하단점 008,마트,하단동,35.107828,128.965211,부산광역시 사하구 하단동 하신중앙로 341
9,CU 하단점 009,편의점,하단동,35.10576,128.968561,부산광역시 사하구 하단동 하신중앙로 107
10,브루랩 하단점 010,카페,하단동,35.10975,128.969152,부산광역시 사하구 하단동 하단로 374
11,이마트24 하단점 011,편의점,하단동,35.10298,128.965811,부산광역시 사하구 하단동 하신중앙로 175
12,브루랩 하단점 012,카페,하단동,35.1091,128.965277,부산광역시 사하구 하단동 을숙도대로 257
13,헬스팩토리 하단점 013,헬스장,하단동,35.104544,128.965876,부산광역시 사하구 하단동 낙동남로 48
14,브루랩 하단점 014,카페,하단동,35.107745,128.969943,부산광역시 사하구 하단동 낙동남로 252
15,GS25 하단점 015,편의점,하단동,35.106403,128.967985,부산광역시 사하구 하단동 하단로 312
16,하단병원 하단점 016,병원,하단동,35.106452,128.966981,부산광역시 사하구 하단동 승학로 88
17,브루랩 하단점 017,카페,하단동,35.104786,128.969417,부산광역시 사하구 하단동 동매로 391
18,생활마트 하단점 018,마트,하단동,35.109438,128.963966,부산광역시 사하구 하단동 낙동남로 90
19,피트니스존 하단점 019,헬스장,하단동,35.104999,128.967467,부산광역시 사하구 하단동 을숙도대로 84
20,브루랩 하단점 020,카페,하단동,35.106724,128.969065,부산광역시 사하구 하단동 을숙도대로 260
21,피트니스존 하단점 021,헬스장,하단동,35.107335,128.96949,부산광역시 사하구 하단동 하신중앙로 288
22,이마트24 하단점 022,편의점,하단동,35.105514,128.96526,부산광역시 사하구 하단동 낙동남로 148
23,CU 하단점 023,편의점,하단동,35.108826,128.967267,부산광역시 사하구 하단동 을숙도대로 128
24,커피하우스 하단점 024,카페,하단동,35.105156,128.968963,부산광역시 사하구 하단동 하신중앙로 78
25,브루랩 하단점 025,카페,하단동,35.107828,128.962395,부산광역시 사하구 하단동 하신중앙로 333
26,생활마트 하단점 026,마트,하단동,35.109292,128.965833,부산광역시 사하구 하단동 동매로 79
27,연세의원 하단점 027,병원,하단동,35.106811,128.965409,부산광역시 사하구 하단동 을숙도대로 158
28,커피하우스 하단점 028,카페,하단동,35.106275,128.964208,부산광역시 사하구 하단동 낙동남로 196
29,브루랩 하단점 029,카페,하단동,35.103007,128.967726,부산광역시 사하구 하단동 동매로 304
30,연세의원 하단점 030,병원,하단동,35.107151,128.968813,부산광역시 사하구 하단동 을숙도대로 132
31,브루랩 하단점 031,카페,하단동,35.105245,128.96967,부산광역시 사하구 하단동 하신중앙로 69
32,스타카페 하단점 032,카페,하단동,35.102759,128.962752,부산광역시 사하구 하단동 승학로 229
33,브루랩 하단점 033,카페,하단동,35.102575,128.962953,부산광역시 사하구 하단동 하신중앙로 156
34,생활마트 하단점 034,마트,하단동,35.109537,128.96517,부산광역시 사하구 하단동 하단로 86
35,커피하우스 하단점 035,카페,하단동,35.103472,128.965022,부산광역시 사하구 하단동 승학로 282
36,CU 하단점 036,편의점,하단동,35.106831,128.966039,부산광역시 사하구 하단동 낙동남로 199
37,피트니스존 하단점 037,헬스장,하단동,35.108916,128.965183,부산광역시 사하구 하단동 승학로 120
38,연세의원 하단점 038,병원,하단동,35.109712,128.966841,부산광역시 사하구 하단동 낙동남로 126
39,헬스팩토리 하단점 039,헬스장,하단동,35.103249,128.967809,부산광역시 사하구 하단동 하단로 282
40,피트니스존 하단점 040,헬스장,하단동,35.109586,128.962789,부산광역시 사하구 하단동 하단로 305
41,브루랩 하단점 041,카페,하단동,35.104591,128.966135,부산광역시 사하구 하단동 동매로 359
42,생활마트 하단점 042,마트,하단동,35.106206,128.966485,부산광역시 사하구 하단동 하단로 167
43,브루랩 하단점 043,카페,하단동,35.104842,128.964545,부산광역시 사하구 하단동 낙동남로 39
44,브루랩 하단점 044,카페,하단동,35.102587,128.968515,부산광역시 사하구 하단동 을숙도대로 259
45,센터마트 하단점 045,마트,하단동,35.109576,128.967439,부산광역시 사하구 하단동 을숙도대로 242
46,생활마트 하단점 046,마트,하단동,35.106104,128.969005,부산광역시 사하구 하단동 하신중앙로 13
47,세븐일레븐 하단점 047,편의점,하단동,35.107292,128.962336,부산광역시 사하구 하단동 승학로 302
48,피트니스존 하단점 048,헬스장,하단동,35.10779,128.965648,부산광역시 사하구 하단동 을숙도대로 198
49,연세의원 하단점 049,병원,하단동,35.105894,128.967055,부산광역시 사하구 하단동 낙동남로 20
50,피트니스존 하단점 050,헬스장,하단동,35.103383,128.964984,부산광역시 사하구 하단동 을숙도대로 321
51,브루랩 하단점 051,카페,하단동,35.108068,128.967344,부산광역시 사하구 하단동 하단로 358
